,precision,recall,f1-score,support
Assignments,1.0,0.9865771812080537,0.9932432432432432,149.0
Confidentiality,1.0,1.0,1.0,99.0
Governing Laws,0.9937888198757764,1.0,0.9968847352024922,160.0
Indemnifications,1.0,0.9866666666666667,0.9932885906040269,75.0
Terminations,0.9814814814814815,1.0,0.9906542056074766,106.0
accuracy,0.9949066213921901,0.9949066213921901,0.9949066213921901,0.9949066213921901
macro avg,0.9950540602714517,0.994648769574944,0.9948141549314478,589.0
weighted avg,0.9949800479068952,0.9949066213921901,0.9949079642874985,589.0
